Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Thursday, 06 April 2023",,,,,,,
,,,,,,,,,,,,
1. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,390.00,390.00,390.00,390.00,R3510,9,19
,,,,,"Tuesday, 04 April 2023",,,,,,,
,,,,,,,,,,,,
2. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,390.00,390.00,390.00,390.00,R780,2,28
3. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.40 kg,0.00,0.00,0.00,ý,R0,0,1
,,,,,"Monday, 03 April 2023",,,,,,,
,,,,,,,,,,,,
4. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,390.00,390.00,390.00,390.00,R390,1,30
5. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.40 kg,0.00,0.00,0.00,ý,R0,0,1
,,,,,"Friday, 31 March 2023",,,,,,,
,,,,,,,,,,,,
6. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,390.00,390.00,390.00,390.00,R1950,5,31
7. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.40 kg,0.00,0.00,0.00,ý,R0,0,1
,,,,,"Thursday, 30 March 2023",,,,,,,
,,,,,,,,,,,,
8. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,390.00,390.00,390.00,390.00,R1950,5,36
9. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.40 kg,0.00,0.00,0.00,ý,R0,0,1
,,,,,"Wednesday, 29 March 2023",,,,,,,
,,,,,,,,,,,,
10. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,390.00,390.00,390.00,390.00,R3120,8,41
11. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.40 kg,0.00,0.00,0.00,ý,R0,0,1
12. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,390.00,390.00,390.00,390.00,R3120,8,41
13. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.40 kg,0.00,0.00,0.00,ý,R0,0,1
,,,,,"Tuesday, 28 March 2023",,,,,,,
,,,,,,,,,,,,
14. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,0.00,0.00,0.00,ý,R0,0,41
15. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.40 kg,0.00,0.00,0.00,ý,R0,0,1
,,,,,"Monday, 27 March 2023",,,,,,,
,,,,,,,,,,,,
16. COCKTAIL TOMATOES,NO VARIETY,CLASS 1,UNDER SIZE,PUNNET,0.20 kg,390.00,390.00,390.00,390.00,R390,1,49
