Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Thursday, 06 April 2023",,,,,,,
,,,,,,,,,,,,
1. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Monday, 03 April 2023",,,,,,,
,,,,,,,,,,,,
2. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Friday, 31 March 2023",,,,,,,
,,,,,,,,,,,,
3. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Wednesday, 29 March 2023",,,,,,,
,,,,,,,,,,,,
4. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
5. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Monday, 27 March 2023",,,,,,,
,,,,,,,,,,,,
6. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
7. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Wednesday, 22 March 2023",,,,,,,
,,,,,,,,,,,,
8. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
9. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Monday, 20 March 2023",,,,,,,
,,,,,,,,,,,,
10. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Tuesday, 14 March 2023",,,,,,,
,,,,,,,,,,,,
11. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Monday, 13 March 2023",,,,,,,
,,,,,,,,,,,,
12. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Wednesday, 08 March 2023",,,,,,,
,,,,,,,,,,,,
13. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Tuesday, 07 March 2023",,,,,,,
,,,,,,,,,,,,
14. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Monday, 06 March 2023",,,,,,,
,,,,,,,,,,,,
15. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Friday, 03 March 2023",,,,,,,
,,,,,,,,,,,,
16. BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,0.00,0.00,0.00,ý,R0,0,242
,,,,,"Monday, 20 February 2023",,,,,,,
,,,,,,,,,,,,
