Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
A2,9865,252.72,48.18,45.25,41.25,47.75
A3,1275,244.19,47.98,46.46,45.09,48.57
AB2,713,264.39,45.94,45.41,43.00,47.79
AB3,136,279.06,46.20,45.24,43.36,47.22
B2,464,249.63,42.24,42.07,39.58,44.64
B3,109,279.57,42.79,42.82,39.68,45.86
C2,1733,241.39,39.77,39.66,38.23,41.19
C3,618,274.63,40.06,40.03,38.68,41.31
A0,324,14.13,62.13,60.61,57.56,62.29
A1,1373,15.84,70.50,68.33,60.81,71.13
A2,10462,21.39,69.69,67.07,64.64,71.19
A3,1523,23.09,68.62,66.21,64.58,71.29
A4,273,22.92,58.99,57.82,50.64,64.58
A5,58,21.10,56.47,55.44,48.86,59.91
A6,84,19.00,56.62,54.90,48.89,58.66
AB2,358,22.69,60.95,60.67,52.22,64.09
AB3,69,24.96,59.28,58.18,47.00,64.41
B2,254,25.75,52.89,53.52,49.01,61.58
B3,67,28.41,51.93,51.51,41.95,57.95
C2,619,24.09,50.00,50.82,46.00,53.41
C3,314,26.01,49.23,49.62,46.09,53.45
24,24.5,25,25.5,26,26.5,27
B2,415,262.76,43.04,44.83,42.24,46.00
B3,100,282.74,43.01,44.86,42.99,46.00
C2,1444,249.98,40.96,41.48,40.76,42.73
C3,471,277.59,40.67,42.02,40.96,43.33
A0,19,12.89,50.61,56.16,55.00,59.90
A1,201,13.04,65.86,67.28,65.29,69.10
A2,7061,21.76,68.29,70.62,68.55,71.77
A3,1162,23.77,69.06,70.54,69.72,71.44
A4,196,24.41,62.04,63.18,61.72,67.06
A5,28,21.66,54.50,56.77,53.05,63.50
A6,12,21.80,52.83,53.32,52.83,53.32
AB2,89,22.90,57.39,59.24,57.00,64.11
AB3,11,25.34,60.89,63.51,61.40,68.64
B2,24,23.81,53.80,58.20,54.60,62.00
B3,2,20.70,55.00,53.00,53.00,53.00
C2,425,23.92,51.56,53.65,50.93,55.40
C3,110,26.51,51.76,52.87,52.19,54.78
B2,395,270.06,44.65,46.05,43.39,47.31
B3,69,314.97,44.49,45.24,43.85,47.33
C2,673,259.04,42.95,43.20,41.53,46.00
C3,224,294.11,43.35,44.08,41.63,46.00
A0,67,14.89,73.75,77.40,61.31,81.00
A1,844,17.08,79.12,81.72,79.64,82.30
A2,6256,21.33,81.13,75.85,70.95,85.44
A3,1686,23.42,81.22,75.47,70.50,85.00
A4,261,24.65,72.51,67.45,61.82,80.76
A5,35,24.34,68.93,65.69,52.80,79.21
A6,49,23.11,65.64,63.67,51.13,76.30
AB2,62,23.68,76.89,76.49,63.08,82.44
AB3,35,23.47,71.02,73.20,64.94,82.53
B2,43,23.60,63.10,64.54,63.89,66.71
