0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max2017/06/05,To,2017/06/11,,,,,,,,,,,,,,,,
CATTLE,,,,,,,,,,,,,,,,,,,,,,,,
A2,9865,"252,72","48,18","45,25","41,25","47,75",,,,,,,,,,,,,,,,,,
A3,1275,"244,19","47,98","46,46","45,09","48,57",,,,,,,,,,,,,,,,,,
AB2,713,"264,39","45,94","45,41","43,00","47,79",,,,,,,,,,,,,,,,,,
AB3,136,"279,06","46,20","45,24","43,36","47,22",,,,,,,,,,,,,,,,,,
B2,464,"249,63","42,24","42,07","39,58","44,64",,,,,,,,,,,,,,,,,,
B3,109,"279,57","42,79","42,82","39,68","45,86",,,,,,,,,,,,,,,,,,
C2,1733,"241,39","39,77","39,66","38,23","41,19",,,,,,,,,,,,,,,,,,
C3,618,"274,63","40,06","40,03","38,68","41,31",,,,,,,,,,,,,,,,,,
14,913,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,Lamb,A2,-,Sales,Price,,,,,,,,,,,,,,,,,,,
A0,324,"14,13","62,13","60,61","57,56","62,29",,,,,,,,,,,,,,,,,,
A1,1373,"15,84","70,50","68,33","60,81","71,13",,,,,,,,,,,,,,,,,,
A2,10462,"21,39","69,69","67,07","64,64","71,19",,,,,,,,,,,,,,,,,,
A3,1523,"23,09","68,62","66,21","64,58","71,29",,,,,,,,,,,,,,,,,,
A4,273,"22,92","58,99","57,82","50,64","64,58",,,,,,,,,,,,,,,,,,
A5,58,"21,10","56,47","55,44","48,86","59,91",,,,,,,,,,,,,,,,,,
A6,84,"19,00","56,62","54,90","48,89","58,66",,,,,,,,,,,,,,,,,,
AB2,358,"22,69","60,95","60,67","52,22","64,09",,,,,,,,,,,,,,,,,,
AB3,69,"24,96","59,28","58,18","47,00","64,41",,,,,,,,,,,,,,,,,,
B2,254,"25,75","52,89","53,52","49,01","61,58",,,,,,,,,,,,,,,,,,
B3,67,"28,41","51,93","51,51","41,95","57,95",,,,,,,,,,,,,,,,,,
C2,619,"24,09","50,00","50,82","46,00","53,41",,,,,,,,,,,,,,,,,,
C3,314,"26,01","49,23","49,62","46,09","53,45",,,,,,,,,,,,,,,,,,
15,778,Hide,Feedlot,"15,42",,,,,,,,,,,,,,,,,,,,
Veldt,"15,40",,,,,,,,,,,,,,,,,,,,,,,
Units,Avg_mass,Avg_purch,Purch_min,Purch_max,"42,00",,,,,,,,,,,,,,,,,,,
PIGS,,,,,,,,,,,,,,,,,,,,,,,,
PP,2255,"52,69","26,44","25,31","29,19",,,,,,,,,,,,,,,,,,,
PO,175,"50,68","26,12","23,51","28,01",,,,,,,,,,,,,,,,,,,
PR,32,"552,72","24,07","19,20","26,75",,,,,,,,,,,,,,,,,,,
PC,6,"43,87","22,54","20,00","24,50",,,,,,,,,,,,,,,,,,,
PS,5,"161,06","17,00","17,00","17,00",,,,,,,,,,,,,,,,,,,
CP,1351,"61,83","26,92","26,10","28,49",,,,,,,,,,,,,,,,,,,
CO,278,"62,58","26,94","26,58","27,47",,,,,,,,,,,,,,,,,,,
CR,49,"61,87","26,43","25,26","27,00",,,,,,,,,,,,,,,,,,,
CC,6,"61,92","24,90","20,99","25,60",,,,,,,,,,,,,,,,,,,
CU,3,"58,27","21,20","13,00","25,60",,,,,,,,,,,,,,,,,,,
CS,1,"62,40","19,50","19,50","19,50",,,,,,,,,,,,,,,,,,,
BP,7179,"74,00","26,30","24,64","27,85",,,,,,,,,,,,,,,,,,,
BO,2570,"75,07","26,46","25,55","27,88",Baconer,BO,-,Purchase,Price,,,,,,,,,,,,,,
BR,300,"74,48","25,68","24,10","26,77",,,,,,,,,,,,,,,,,,,
BC,36,"72,31","21,78","15,00","25,60",,,,,,,,,,,,,,,,,,,
BU,6,"74,12","23,77","18,00","26,32",,,,,,,,,,,,,,,,,,,
BS,4,"87,03","22,21","20,00","25,60",,,,,,,,,,,,,,,,,,,
HP,4493,"85,91","25,60","24,49","26,40",,,,,,,,,,,,,,,,,,,
HO,5475,"87,45","25,76","24,50","27,07",,,,,,,,,,,,,,,,,,,
HR,1000,"89,28","25,22","24,39","26,73",,,,,,,,,,,,,,,,,,,
HC,122,"88,75","20,28","15,00","24,59",,,,,,,,,,,,,,,,,,,
HU,19,"87,30","18,90","13,00","24,50",,,,,,,,,,,,,,,,,,,
HS,8,"90,46","20,70","16,84","23,60",,,,,,,,,,,,,,,,,,,
SAU,706,"144,03","18,72","16,10","23,26",,,,,,,,,,,,,,,,,,,
SAB,309,"105,98","22,29","15,11","24,29",,,,,,,,,,,,,,,,,,,
26,388,,,,,,,,,,,,,,,,,,,,,,,
17,18,19,20,21,22,23,2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
54,56,58,60,62,64,66,68,,,,,,,,,,,,,,,,,
17,18,19,20,21,22,23,2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
24,"24,5",25,"25,5",26,"26,5",27,,,,,,,,,,,,,,,,,,
17,18,19,20,21,22,23,2017,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max2018/04/09,To,2018/04/15,,,,,,,,,,,,,,,,
A2,7072,"267,26","47,01","46,25","43,58","47,40",Hide,Feedlot,"9,09",,,,,,,,,,,,,,,
A3,1195,"288,55","47,18","47,68","46,57","48,89",Veldt,"9,60",,,,,,,,,,,,,,,,
AB2,659,"271,72","46,00","46,29","44,93","47,17",Dorper,ea,"35,13",,,,,,,,,,,,,,,
AB3,127,"291,90","46,05","46,21","45,44","46,95",Merino,ea,"86,00",,,,,,,,,,,,,,,
B2,415,"262,76","43,04","44,83","42,24","46,00",,,,,,,,,,,,,,,,,,
B3,100,"282,74","43,01","44,86","42,99","46,00",,,,,,,,,,,,,,,,,,
C2,1444,"249,98","40,96","41,48","40,76","42,73",,,,,,,,,,,,,,,,,,
C3,471,"277,59","40,67","42,02","40,96","43,33",,,,,,,,,,,,,,,,,,
11,483,,,,,,,,,,,,,,,,,,,,,,,
A0,19,"12,89","50,61","56,16","55,00","59,90",,,,,,,,,,,,,,,,,,
A1,201,"13,04","65,86","67,28","65,29","69,10",,,,,,,,,,,,,,,,,,
A2,7061,"21,76","68,29","70,62","68,55","71,77",,,,,,,,,,,,,,,,,,
A3,1162,"23,77","69,06","70,54","69,72","71,44",,,,,,,,,,,,,,,,,,
A4,196,"24,41","62,04","63,18","61,72","67,06",,,,,,,,,,,,,,,,,,
A5,28,"21,66","54,50","56,77","53,05","63,50",,,,,,,,,,,,,,,,,,
A6,12,"21,80","52,83","53,32","52,83","53,32",,,,,,,,,,,,,,,,,,
AB2,89,"22,90","57,39","59,24","57,00","64,11",,,,,,,,,,,,,,,,,,
AB3,11,"25,34","60,89","63,51","61,40","68,64",,,,,,,,,,,,,,,,,,
B2,24,"23,81","53,80","58,20","54,60","62,00",,,,,,,,,,,,,,,,,,
B3,2,"20,70","55,00","53,00","53,00","53,00",,,,,,,,,,,,,,,,,,
C2,425,"23,92","51,56","53,65","50,93","55,40",,,,,,,,,,,,,,,,,,
C3,110,"26,51","51,76","52,87","52,19","54,78",,,,,,,,,,,,,,,,,,
9,340,,,,,,,,,,,,,,,,,,,,,,,
Units,Avg_mass,Avg_purch,Purch_min,Purch_maxMin,,,,,,,,,,,,,,,,,,,,
P,1397,"51,58","21,18","18,00","22,63",,,,,,,,,,,,,,,,,,,
O,99,"46,84","19,94","16,63","22,13",,,,,,,,,,,,,,,,,,,
R,28,"46,93","19,11","17,44","20,61",,,,,,,,,,,,,,,,,,,
C,17,"46,39","17,70","15,50","20,67",,,,,,,,,,,,,,,,,,,
U,3,"52,23","15,50","15,50","15,50",,,,,,,,,,,,,,,,,,,
S,0#DIV/0!,"0,00",#NUM!,"0,00",,,,,,,,,,,,,,,,,,,,
P,831,"61,59","19,02","17,00","20,66",,,,,,,,,,,,,,,,,,,
O,162,"62,28","19,24","17,00","20,23",,,,,,,,,,,,,,,,,,,
R,17,"63,14","19,05","16,40","19,80",,,,,,,,,,,,,,,,,,,
C,4,"61,95","18,29","18,00","19,10",,,,,,,,,,,,,,,,,,,
U,4,"68,70","16,67","16,67","16,67",,,,,,,,,,,,,,,,,,,
S,0#DIV/0!,"0,00",#NUM!,"0,00",,,,,,,,,,,,,,,,,,,,
P,6911,"75,20","18,33","15,93","20,32",,,,,,,,,,,,,,,,,,,
O,2696,"77,77","18,73","17,79","20,77",,,,,,,,,,,,,,,,,,,
R,309,"77,66","17,38","14,86","19,54",,,,,,,,,,,,,,,,,,,
C,45,"74,60","16,03","12,39","18,46",,,,,,,,,,,,,,,,,,,
U,"1371,21462","15,03","13,66","15,50",,,,,,,,,,,,,,,,,,,,
S,32,"87,36","16,10","14,51","17,60",,,,,,,,,,,,,,,,,,,
P,4810,"86,74","18,45","15,58","20,79",,,,,,,,,,,,,,,,,,,
O,6272,"89,05","18,18","15,17","19,85",,,,,,,,,,,,,,,,,,,
R,1182,"90,00","16,73","14,45","18,89",,,,,,,,,,,,,,,,,,,
C,84,"91,78","14,69","12,02","18,36",,,,,,,,,,,,,,,,,,,
U,10,"93,47","14,27","11,43","18,20",,,,,,,,,,,,,,,,,,,
S,20,"93,75","15,42","11,17","18,20",,,,,,,,,,,,,,,,,,,
2760,"121,44","14,12","11,75","16,31",,,,,,,,,,,,,,,,,,,,
27,706,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,,,,,,,,,,,,,,,,,,,,,,,,
PIGS43444546474849,,,,,,,,,,,,,,,,,,,,,,,,
9,10,11,12,13Beef,A2,-Sales,Price,2018,,,,,,,,,,,,,,,,
6466687072,,,,,,,,,,,,,,,,,,,,,,,,
