Date,Product,Variety,Class,Size,Package,Unit(kg),Closing Price,High Price,Low Price,Average Price,Total Sales(Rand),Sales Quantity,Closing Stock,Day,Month,Week
2023-03-03,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,48.52,120.0,40.0,80.0,8250,170,0,3,3,9
2023-03-02,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,18.94,150.0,7.0,78.5,1876,99,0,2,3,9
2023-03-02,APRICOTS,IMPERIAL,CLASS 2,LARGE,PUNNET,5.0,60.0,60.0,60.0,60.0,1740,29,0,2,3,9
2023-03-02,APRICOTS,IMPERIAL,CLASS 2,MEDIUM,PUNNET,0.5,50.0,50.0,50.0,50.0,500,10,0,2,3,9
2023-03-02,APRICOTS,IMPERIAL,CLASS 2,SMALL,PUNNET,0.5,50.0,50.0,50.0,50.0,450,9,0,2,3,9
2023-03-01,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,150.0,150.0,150.0,150.0,3750,25,99,1,3,9
2023-03-01,APRICOTS,IMPERIAL,CLASS 2,LARGE,PUNNET,5.0,0.0,0.0,0.0,0.0,0,0,29,1,3,9
2023-03-01,APRICOTS,IMPERIAL,CLASS 2,MEDIUM,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,10,1,3,9
2023-03-01,APRICOTS,IMPERIAL,CLASS 2,SMALL,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,9,1,3,9
2023-03-01,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,150.0,150.0,150.0,150.0,3750,25,99,1,3,9
2023-03-01,APRICOTS,IMPERIAL,CLASS 2,LARGE,PUNNET,5.0,0.0,0.0,0.0,0.0,0,0,29,1,3,9
2023-03-01,APRICOTS,IMPERIAL,CLASS 2,MEDIUM,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,10,1,3,9
2023-03-01,APRICOTS,IMPERIAL,CLASS 2,SMALL,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,9,1,3,9
2023-02-27,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,43.93,100.0,40.0,70.0,10720,244,4,27,2,9
2023-02-27,APRICOTS,IMPERIAL,CLASS 2,LARGE,PUNNET,5.0,0.0,0.0,0.0,0.0,0,0,30,27,2,9
2023-02-27,APRICOTS,IMPERIAL,CLASS 2,MEDIUM,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,10,27,2,9
2023-02-27,APRICOTS,IMPERIAL,CLASS 2,SMALL,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,10,27,2,9
2023-02-24,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,54.7,60.0,50.0,55.0,4650,85,249,24,2,8
2023-02-22,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,161.42,170.0,150.0,160.0,1130,7,335,22,2,8
2023-02-21,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,86.53,180.0,80.0,130.0,6750,78,342,21,2,8
2023-02-21,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,86.53,180.0,80.0,130.0,6750,78,342,21,2,8
2023-02-20,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,420,20,2,8
2023-02-17,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,150.0,150.0,150.0,150.0,600,4,72,17,2,7
2023-02-16,APRICOTS,IMPERIAL,CLASS 1,MEDIUM,PUNNET,0.5,150.0,150.0,150.0,150.0,150,1,76,16,2,7
