Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. GRAPEFRUIT,STAR RUBY,CLASS 1,MEDIUM,STANDARD POCKET,7.00 kg,0.00,0.00,0.00,ý,R0,0,11
2. GRAPEFRUIT,STAR RUBY,CLASS 1,MEDIUM,STANDARD POCKET,7.00 kg,0.00,0.00,0.00,ý,R0,0,11
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
3. GRAPEFRUIT,STAR RUBY,CLASS 1,MEDIUM,STANDARD POCKET,7.00 kg,0.00,0.00,0.00,ý,R0,0,176
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
1. BEETROOTS,NO VARIETY,NOT GRADED,NO SIZE,BUNCH,1.00 kg,0.00,0.00,0.00,ý,R0,0,95
2. BEETROOTS,NO VARIETY,NOT GRADED,NO SIZE,BANANA BOX,10.00 kg,0.00,0.00,0.00,ý,R0,0,1
3. BEETROOTS,NO VARIETY,CLASS 1,MEDIUM,STANDARD POCKET,10.00 kg,75.00,75.00,75.00,75.00,R1800,24,78
4. BEETROOTS,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.00 kg,28.00,28.00,28.00,28.00,R756,27,30
5. BEETROOTS,NO VARIETY,CLASS 1,MEDIUM,HALF POCKET,5.00 kg,0.00,0.00,0.00,ý,R0,0,1
6. BEETROOTS,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.00 kg,75.00,75.00,75.00,75.00,R450,6,0
,,,,,"Monday, 23 January 2023",,,,,,,
,,,,,,,,,,,,
7. BEETROOTS,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.00 kg,75.00,75.00,75.00,75.00,R225,3,141
8. BEETROOTS,NO VARIETY,CLASS 1,MEDIUM,STANDARD POCKET,10.00 kg,60.71,75.00,55.00,60.71,R2550,42,382
9. BEETROOTS,NO VARIETY,CLASS 1,MEDIUM,HALF POCKET,5.00 kg,0.00,0.00,0.00,ý,R0,0,1
10. BEETROOTS,NO VARIETY,NOT GRADED,NO SIZE,BUNCH,1.00 kg,0.00,0.00,0.00,ý,R0,0,98
11. BEETROOTS,NO VARIETY,NOT GRADED,NO SIZE,BANANA BOX,10.00 kg,0.00,0.00,0.00,ý,R0,0,1
12. BEETROOTS,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.00 kg,28.00,28.00,28.00,28.00,R560,20,400
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. BUTTERNUT SQUASHES,NO VARIETY,NOT GRADED,LARGE,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,1
2. BUTTERNUT SQUASHES,NO VARIETY,NOT GRADED,LARGE,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,1
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
3. BUTTERNUT SQUASHES,NO VARIETY,NOT GRADED,MEDIUM,HALF POCKET,5.00 kg,40.00,40.00,40.00,40.00,R16000,400,934
4. BUTTERNUT SQUASHES,NO VARIETY,NOT GRADED,LARGE,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,721
5. BUTTERNUT SQUASHES,NO VARIETY,NOT GRADED,MEDIUM,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,7
,,,,,"Monday, 23 January 2023",,,,,,,
,,,,,,,,,,,,
6. BUTTERNUT SQUASHES,NO VARIETY,NOT GRADED,MEDIUM,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,13
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
1. CARROTS,NO VARIETY,NOT GRADED,NO SIZE,BAG,10.00 kg,0.00,0.00,0.00,ý,R0,0,13
2. CARROTS,NO VARIETY,NOT GRADED,NO SIZE,ECONOMIC PACK,1.00 kg,0.00,0.00,0.00,ý,R0,0,154
3. CARROTS,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.00 kg,0.00,0.00,0.00,ý,R0,0,18
4. CARROTS,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.00 kg,0.00,0.00,0.00,ý,R0,0,6
,,,,,"Monday, 23 January 2023",,,,,,,
,,,,,,,,,,,,
5. CARROTS,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.00 kg,68.00,68.00,68.00,68.00,R2788,41,77
6. CARROTS,NO VARIETY,NOT GRADED,NO SIZE,BAG,10.00 kg,75.00,75.00,75.00,75.00,R2400,32,236
7. CARROTS,NO VARIETY,NOT GRADED,NO SIZE,ECONOMIC PACK,1.00 kg,0.00,0.00,0.00,ý,R0,0,164
8. CARROTS,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.00 kg,28.00,28.00,28.00,28.00,R1680,60,520
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. GRAPEFRUIT,STAR RUBY,CLASS 1,MEDIUM,STANDARD POCKET,7.00 kg,0.00,0.00,0.00,ý,R0,0,11
2. GRAPEFRUIT,STAR RUBY,CLASS 1,MEDIUM,STANDARD POCKET,7.00 kg,0.00,0.00,0.00,ý,R0,0,11
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
3. GRAPEFRUIT,STAR RUBY,CLASS 1,MEDIUM,STANDARD POCKET,7.00 kg,0.00,0.00,0.00,ý,R0,0,176
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. NECTARINES,OTHER,CLASS 1,LARGE,MULTI LAYER TRAYER,11.00 kg,0.00,0.00,0.00,ý,R0,0,1
2. NECTARINES,OTHER,CLASS 1,LARGE,MULTI LAYER TRAYER,11.00 kg,0.00,0.00,0.00,ý,R0,0,1
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
3. NECTARINES,OTHER,CLASS 1,LARGE,MULTI LAYER TRAYER,11.00 kg,0.00,0.00,0.00,ý,R0,0,30
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. ONIONS,BROWN,CLASS 1,MEDIUM PLUS,STANDARD POCKET,10.00 kg,39.33,60.00,30.00,39.33,R13295,338,264
2. ONIONS,BROWN,CLASS 1,MEDIUM PLUS,STANDARD POCKET,10.00 kg,39.33,60.00,30.00,39.33,R13295,338,264
3. ONIONS,WHITE,CLASS 1,SMALL,STANDARD POCKET,10.00 kg,20.26,35.00,20.00,20.26,R3485,172,967
4. ONIONS,WHITE,CLASS 1,SMALL,STANDARD POCKET,10.00 kg,20.26,35.00,20.00,20.26,R3485,172,967
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
5. ONIONS,WHITE,CLASS 1,SMALL,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,46
6. ONIONS,WHITE,CLASS 1,SMALL MEDIUM,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,6
,,,,,"Monday, 23 January 2023",,,,,,,
,,,,,,,,,,,,
7. ONIONS,WHITE,CLASS 1,SMALL,STANDARD POCKET,10.00 kg,90.00,90.00,90.00,90.00,R2790,31,2389
8. ONIONS,WHITE,CLASS 1,SMALL MEDIUM,STANDARD POCKET,10.00 kg,93.24,95.00,93.00,93.25,R23405,251,739
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
