Type;Class;Units;Avg_Mass (kg);Avg_Purchase;Avg_Selling;Selling_Min;Selling_Max;Start_date;End_date
Cattle;A2;8756.0;259.87;36.07;36.06;29.5;39.19;2016/01/04;2016/01/10
Cattle;A3;933.0;269.86;35.91;36.36;33.52;39.38;2016/01/04;2016/01/10
Cattle;AB2;387.0;247.77;33.65;32.54;29.5;38.27;2016/01/04;2016/01/10
Cattle;AB3;46.0;281.55;35.04;34.1;28.0;35.81;2016/01/04;2016/01/10
Cattle;B2;213.0;237.07;30.67;29.42;26.45;33.17;2016/01/04;2016/01/10
Cattle;B3;23.0;289.72;30.44;29.34;28.0;31.55;2016/01/04;2016/01/10
Cattle;C2;1086.0;250.05;28.87;28.29;25.27;31.5;2016/01/04;2016/01/10
Cattle;C3;161.0;289.98;29.37;28.71;25.21;31.5;2016/01/04;2016/01/10
Cattle;A2;12001.0;258.96;39.18;39.31;37.12;42.51;2017/01/02;2017/01/08
Cattle;A3;1308.0;277.74;39.13;39.07;37.0;42.53;2017/01/02;2017/01/08
Cattle;AB2;378.0;263.26;36.98;37.56;30.5;41.74;2017/01/02;2017/01/08
Cattle;AB3;98.0;279.98;37.08;38.36;36.0;41.74;2017/01/02;2017/01/08
Cattle;B2;183.0;274.37;35.15;35.78;32.33;39.42;2017/01/02;2017/01/08
Cattle;B3;65.0;257.49;34.35;35.56;32.5;36.35;2017/01/02;2017/01/08
Cattle;C2;697.0;262.4;33.76;32.61;30.0;39.28;2017/01/02;2017/01/08
Cattle;C3;129.0;295.65;32.37;34.18;30.0;38.5;2017/01/02;2017/01/08
Cattle;A2;10263.0;258.08;43.64;44.23;34.0;47.5;2017/03/06;2017/03/12
Cattle;A3;1046.0;275.51;43.56;44.24;43.0;47.5;2017/03/06;2017/03/12
Cattle;AB2;599.0;246.04;41.62;42.25;40.74;44.3;2017/03/06;2017/03/12
Cattle;AB3;97.0;272.1;41.59;42.25;36.5;44.0;2017/03/06;2017/03/12
Cattle;B2;455.0;236.64;39.76;38.23;34.95;41.3;2017/03/06;2017/03/12
Cattle;B3;91.0;270.66;37.87;38.29;34.5;39.02;2017/03/06;2017/03/12
Cattle;C2;2071.0;248.55;36.36;36.47;32.57;39.11;2017/03/06;2017/03/12
Cattle;C3;569.0;275.27;36.47;36.79;32.57;38.95;2017/03/06;2017/03/12
Cattle;A2;9168.0;253.69;43.87;44.31;35.0;47.5;2017/03/13;2017/03/19
Cattle;A3;1119.0;273.05;44.0;44.35;42.0;47.5;2017/03/13;2017/03/19
Cattle;AB2;452.0;250.27;42.26;41.36;36.0;47.5;2017/03/13;2017/03/19
