Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
PP;2255.0;5269.0;2644.0;2531.0;2919.0;2017/06/05;2017/06/11;2017;6
PO;175.0;5068.0;2612.0;2351.0;2801.0;2017/06/05;2017/06/11;2017;6
PR;32.0;55272.0;2407.0;1920.0;2675.0;2017/06/05;2017/06/11;2017;6
PC;6.0;4387.0;2254.0;2000.0;2450.0;2017/06/05;2017/06/11;2017;6
PS;5.0;16106.0;1700.0;1700.0;1700.0;2017/06/05;2017/06/11;2017;6
CP;1351.0;6183.0;2692.0;2610.0;2849.0;2017/06/05;2017/06/11;2017;6
CO;278.0;6258.0;2694.0;2658.0;2747.0;2017/06/05;2017/06/11;2017;6
CR;49.0;6187.0;2643.0;2526.0;2700.0;2017/06/05;2017/06/11;2017;6
CC;6.0;6192.0;2490.0;2099.0;2560.0;2017/06/05;2017/06/11;2017;6
CU;3.0;5827.0;2120.0;1300.0;2560.0;2017/06/05;2017/06/11;2017;6
CS;1.0;6240.0;1950.0;1950.0;1950.0;2017/06/05;2017/06/11;2017;6
BP;7179.0;7400.0;2630.0;2464.0;2785.0;2017/06/05;2017/06/11;2017;6
BO;2570.0;7507.0;2646.0;2555.0;2788.0;2017/06/05;2017/06/11;2017;6
BR;300.0;7448.0;2568.0;2410.0;2677.0;2017/06/05;2017/06/11;2017;6
BC;36.0;7231.0;2178.0;1500.0;2560.0;2017/06/05;2017/06/11;2017;6
BU;6.0;7412.0;2377.0;1800.0;2632.0;2017/06/05;2017/06/11;2017;6
BS;4.0;8703.0;2221.0;2000.0;2560.0;2017/06/05;2017/06/11;2017;6
HP;4493.0;8591.0;2560.0;2449.0;2640.0;2017/06/05;2017/06/11;2017;6
HO;5475.0;8745.0;2576.0;2450.0;2707.0;2017/06/05;2017/06/11;2017;6
HR;1000.0;8928.0;2522.0;2439.0;2673.0;2017/06/05;2017/06/11;2017;6
HC;122.0;8875.0;2028.0;1500.0;2459.0;2017/06/05;2017/06/11;2017;6
HU;19.0;8730.0;1890.0;1300.0;2450.0;2017/06/05;2017/06/11;2017;6
HS;8.0;9046.0;2070.0;1684.0;2360.0;2017/06/05;2017/06/11;2017;6
SAU;706.0;14403.0;1872.0;1610.0;2326.0;2017/06/05;2017/06/11;2017;6
SAB;309.0;10598.0;2229.0;1511.0;2429.0;2017/06/05;2017/06/11;2017;6
P;1397.0;5158.0;2118.0;1800.0;2263.0;2018/04/09;2018/04/15;2018;4
O;99.0;4684.0;1994.0;1663.0;2213.0;2018/04/09;2018/04/15;2018;4
R;28.0;4693.0;1911.0;1744.0;2061.0;2018/04/09;2018/04/15;2018;4
C;17.0;4639.0;1770.0;1550.0;2067.0;2018/04/09;2018/04/15;2018;4
U;3.0;5223.0;1550.0;1550.0;1550.0;2018/04/09;2018/04/15;2018;4
P;831.0;6159.0;1902.0;1700.0;2066.0;2018/04/09;2018/04/15;2018;4
O;162.0;6228.0;1924.0;1700.0;2023.0;2018/04/09;2018/04/15;2018;4
R;17.0;6314.0;1905.0;1640.0;1980.0;2018/04/09;2018/04/15;2018;4
C;4.0;6195.0;1829.0;1800.0;1910.0;2018/04/09;2018/04/15;2018;4
U;4.0;6870.0;1667.0;1667.0;1667.0;2018/04/09;2018/04/15;2018;4
P;6911.0;7520.0;1833.0;1593.0;2032.0;2018/04/09;2018/04/15;2018;4
O;2696.0;7777.0;1873.0;1779.0;2077.0;2018/04/09;2018/04/15;2018;4
R;309.0;7766.0;1738.0;1486.0;1954.0;2018/04/09;2018/04/15;2018;4
C;45.0;7460.0;1603.0;1239.0;1846.0;2018/04/09;2018/04/15;2018;4
